iter	Passed	Remaining
277	1313	1048
278	1318	1044
279	1323	1040
280	1327	1034
281	1332	1030
282	1336	1024
283	1341	1019
284	1345	1014
285	1349	1009
286	1353	1004
287	1358	999
288	1362	994
289	1366	989
290	1370	984
291	1375	979
292	1379	974
293	1383	969
294	1389	965
295	1395	962
296	1400	957
297	1405	952
298	1409	947
299	1413	942
300	1418	937
301	1422	932
302	1427	927
303	1431	923
304	1436	918
305	1440	913
306	1445	908
307	1451	904
308	1457	900
309	1462	896
310	1466	891
311	1471	886
312	1476	882
313	1482	878
314	1487	873
315	1493	869
316	1501	866
317	1512	865
318	1521	863
319	1527	859
320	1533	855
321	1539	851
322	1546	847
323	1554	844
324	1563	841
325	1567	836
326	1572	831
327	1576	826
328	1583	822
329	1587	817
330	1591	812
331	1596	807
332	1600	802
333	1605	797
334	1609	792
335	1613	787
336	1620	783
337	1624	778
338	1628	773
339	1633	768
340	1638	763
341	1643	759
342	1648	754
343	1652	749
344	1656	744
345	1661	739
346	1665	734
347	1669	729
348	1674	724
349	1679	719
350	1718	729
351	1736	730
352	1741	725
353	1746	720
354	1759	718
355	1763	713
356	1766	707
357	1770	702
358	1774	696
359	1777	691
360	1780	685
361	1784	680
362	1788	674
363	1791	669
364	1795	664
365	1799	658
366	1803	653
367	1807	648
368	1811	642
369	1814	637
370	1819	632
371	1823	627
372	1827	622
373	1831	617
374	1836	612
375	1840	606
376	1844	601
377	1848	596
378	1853	591
379	1857	586
380	1861	581
381	1866	576
382	1870	571
383	1874	566
384	1878	561
385	1883	556
386	1887	551
387	1891	546
388	1896	541
389	1901	536
390	1905	531
391	1911	526
392	1916	521
393	1922	517
394	1926	512
395	1931	507
396	1935	502
397	1939	497
398	1943	491
399	1947	486
400	1951	481
401	1955	476
402	1959	471
403	1964	466
404	1967	461
405	1972	456
406	1975	451
407	1980	446
408	1983	441
409	1987	436
410	1990	431
411	1994	426
412	1998	421
413	2004	416
414	2007	411
415	2012	406
416	2016	401
417	2019	396
418	2022	391
419	2027	386
420	2031	381
421	2034	376
422	2038	371
423	2042	366
424	2045	361
425	2049	355
426	2052	350
427	2056	345
428	2060	341
429	2064	336
430	2068	331
431	2071	326
432	2075	321
433	2079	316
434	2082	311
435	2086	306
436	2090	301
437	2094	296
438	2097	291
439	2101	286
440	2105	281
441	2109	276
442	2113	271
443	2116	266
