Date,Close,High,Low,Open,Volume,sma20,sma50,sma_cross,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_width,bb_pos,volume_ma20,volume_ratio,day_of_week,month,future_return,label,atr,atr_ratio,returns,volatility_10,volatility_20,high_52w,low_52w,dist_52w_high,dist_52w_low,weekly_return,monthly_return,quarterly_return,obv,obv_ratio,upper_wick,lower_wick,body_size,wick_ratio,atr_20,regime_vol,trend_strength
2025-05-09,24008.0,24164.25,23935.75,23935.75,335600,23908.55244140625,23252.88296875,0.0273104578747188,53.8787458150248,305.3314163695977,327.469225769926,-22.137809400328308,25171.218043030047,22645.88683978245,0.1051870711116125,0.5393800062605096,384975.0,0.8717449185012014,4,5,0.0421443177794902,1,244.27859933035714,0.010174883344316776,-0.0109501096942064,0.006642476063511133,0.009658769358711121,26277.349609375,21281.44921875,-0.08636143458567684,0.12811866115056558,-0.01391150462355728,0.04818062947990964,0.022393588348064597,3136200.0,1.1215955968736087,156.25,0.0,72.25,2.1626297577555342,274.84833286830354,0.8841290510123938,0.15353152892737124
2025-05-12,24924.69921875,24944.80078125,24378.849609375,24420.099609375,368700,24027.994921875,23293.1139453125,0.0294840459302182,67.69893245502726,343.3145865437182,330.6382979246845,12.6762886190337,25197.142747673657,22858.847096076344,0.0938143979622547,0.8834862782481983,379995.0,0.9702759246832195,0,5,0.0008325075387225,0,264.2822265625,0.010603226311501063,0.038183073090219954,0.013556782176729027,0.012030654679017217,26277.349609375,21281.44921875,-0.05147590646441806,0.17119369844371868,0.018950409965291737,0.12467961059120158,0.06693399420008173,3504900.0,1.2020495443742134,20.1015625,41.25,504.599609375,-0.0419113235663275,273.8415597098214,0.9294963522676343,1.4951047552563261
2025-05-13,24578.349609375,24973.80078125,24547.5,24864.05078125,423000,24136.9548828125,23328.7629296875,0.0328822710218399,60.34187534711952,341.5320349460235,332.8170453289523,8.714989617071183,25058.5668951223,23215.3428705027,0.0749938077175261,0.7394688440834493,381955.0,1.107460302915265,1,5,0.0042944617082727,0,282.54659598214283,0.011495751361367655,-0.01389583907654357,0.014249201612239729,0.012530763373035039,26277.349609375,21281.44921875,-0.06465644462841283,0.15491897928268292,0.008152307797687275,0.09063337018145123,0.03534650881451595,3081900.0,1.0159936836240702,109.75,30.849609375,285.701171875,0.27616404268458633,273.8097935267857,1.0128274737681413,0.9336214301079766
2025-05-14,24666.900390625,24767.55078125,24535.55078125,24613.80078125,345500,24228.87236328125,23371.0339453125,0.0347769036394529,61.49403508815213,343.3072259598412,334.9150814551301,8.392144504711041,24956.44201494617,23501.30271161633,0.058991574956166,0.8010213704910568,379120.0,0.9113209537877188,2,5,0.0059411124139738,0,282.021484375,0.011433195087704908,0.0036027960647213586,0.014266609280085205,0.012061038377125612,26277.349609375,21281.44921875,-0.06128659254795766,0.15907991683631448,0.010342256863165034,0.10124267931828124,0.04095996325903317,3427400.0,1.0886977016770087,100.650390625,78.25,53.099609375,0.4218560341260165,273.80266462053567,1.0114461203605998,1.1735973566270979
2025-05-15,25062.099609375,25116.25,24494.44921875,24694.44921875,500800,24315.5498046875,23421.324921875,0.035680365841256,66.21196820845032,372.3115756748266,342.39438029906944,29.91719537575716,25005.50880429631,23625.59080507869,0.0550599519084759,1.0410102666323469,384745.0,1.301641346866106,3,5,-0.0180511767839184,-1,317.0287388392857,0.012649727827300412,0.01602143814146184,0.0149673814583648,0.011665481199638929,26277.349609375,21281.44921875,-0.046247053757903875,0.17765004402491827,0.03247529446372943,0.0978401497987118,0.06180266886444796,3928200.0,1.201809965826034,54.150390625,200.0,367.650390625,-0.39670734233863103,275.9335728236607,1.1146948119804292,2.109246322917398
2025-05-16,25019.80078125,25070.0,24953.05078125,25064.650390625,432700,24394.6798828125,23470.819921875,0.0369251525627591,65.28989232498522,387.4186488412706,351.3992340075097,36.01941483376095,25023.87864419032,23765.48112143468,0.0502960648551084,0.9967594795232976,388960.0,1.1124537227478404,4,5,-0.0066607401106841,0,288.41085379464283,0.011527304166657466,-0.0016877607536591732,0.015024927687704779,0.011722903912665675,26277.349609375,21281.44921875,-0.04785676054925809,0.175662452499068,0.04214431777949024,0.07249700231526246,0.06196327288083414,3495500.0,1.043457754215026,5.349609375,66.75,44.849609375,-1.3690284370203831,276.976806640625,1.0152864052944102,1.9367249942981741
2025-05-19,24945.44921875,25062.94921875,24916.650390625,25005.349609375,255300,24449.36982421875,23527.234921875,0.0369660571857185,63.612934865248775,388.908468714224,358.9010809488525,30.007387765371448,25070.353148439302,23828.386499998192,0.0497873033894936,0.8994305283108186,376460.0,0.678159698241513,0,5,0.0022329191744172,0,277.35728236607144,0.011118552323266986,-0.0029717088137536374,0.015114462756069669,0.01129449778940556,26277.349609375,21281.44921875,-0.05068625300588977,0.17216872602697736,0.0008325075387225489,0.06435282586126512,0.06688377337314266,3240200.0,0.9548985630253092,57.599609375,28.798828125,59.900390625,0.4808112426148171,276.3759347098214,0.9836762905156603,1.557266885792757
2025-05-20,24683.900390625,25010.349609375,24669.69921875,24996.19921875,414800,24477.2873046875,23578.5269140625,0.0364107931243456,57.972110625960745,364.7794071834724,360.07674619577654,4.702660987695822,25087.64122569976,23866.93338367524,0.0494536042807944,0.669256785960216,376895.0,1.1005717772854509,1,5,0.0057648437189061,0,289.7679966517857,0.011739149488783395,-0.010484831354666824,0.015560778031559827,0.011422317356106966,26277.349609375,21281.44921875,-0.060639647545789904,0.15987873461536978,0.004294461708272745,0.034892763660795634,0.06987315921543158,2825400.0,0.8320976346739744,14.150390625,14.201171875,312.298828125,-0.00016260467676014402,276.39167131696433,1.0397711393915219,0.6598844336866695
2025-05-21,24813.44921875,24946.19921875,24685.349609375,24744.25,332700,24509.597265625,23633.142890625,0.0353217469797676,59.870253692862256,352.05222096640136,358.47184114990154,-6.419620183500172,25119.29597402576,23899.898557224245,0.0491426002911392,0.7491820541345777,371485.0,0.8955947077270953,2,5,-0.0024583442415537,0,294.30008370535717,0.011860506820751572,0.00524831270888626,0.015609762768667077,0.011457855845606414,26277.349609375,21281.44921875,-0.05570959066978059,0.16596614091901857,0.005941112413973881,0.028513273903558956,0.07672727432985105,3158100.0,0.9309393405219935,132.75,58.900390625,69.19921875,1.0672029353500871,276.8613351004464,1.0501873712827494,0.971490494426182
2025-05-22,24609.69921875,24737.5,24462.400390625,24733.94921875,403300,24523.634765625,23678.590859375,0.0343378396760804,55.61584948411546,321.81522639785544,351.1405181994924,-29.32529180163692,25128.962483672407,23918.3070475776,0.0491942394473648,0.5710891394521106,370900.0,1.0873550822324076,3,5,0.0090980547399137,0,288.90359933035717,0.011739420167729765,-0.008211272774042211,0.015759052353901674,0.011578345412197998,26277.349609375,21281.44921875,-0.06346341679870296,0.1563920748906352,-0.018051176783918432,0.018307801622029718,0.06852813121895318,2754800.0,0.8227384994907909,3.55078125,147.298828125,124.25,-1.1569259305741897,276.9170619419643,1.0398785369936956,0.27715648895551265
