date,value
2023-09-05,112010.31725271493
2023-09-06,112191.06920583993
2023-09-07,112771.06920583993
2023-09-08,113235.56139333993
2023-09-11,114117.56334646493
2023-09-12,114101.81139333993
2023-09-13,114184.96599958993
2023-09-14,114184.96599958993
2023-09-15,114184.96599958993
2023-09-18,114184.96599958993
2023-09-20,114184.96599958993
2023-09-21,114184.96599958993
2023-09-22,114184.96599958993
2023-09-25,114184.96599958993
2023-09-26,114184.96599958993
2023-09-27,114184.96599958993
2023-09-28,114184.96599958993
2023-09-29,114184.96599958993
2023-10-03,114184.96599958993
2023-10-04,113893.2301444532
2023-10-05,114441.4820975782
2023-10-06,114980.2320975782
2023-10-09,114274.4801444532
2023-10-10,115161.9801444532
2023-10-11,115769.4801444532
2023-10-12,115682.7320975782
2023-10-13,115467.9860038282
2023-10-16,115075.7031650782
2023-10-17,115075.7031650782
2023-10-18,115075.7031650782
2023-10-19,115075.7031650782
2023-10-20,115075.7031650782
2023-10-23,115075.7031650782
2023-10-25,115075.7031650782
2023-10-26,114792.65584257821
2023-10-27,115742.65584257821
2023-10-30,116210.90779570321
2023-10-31,115904.40388945321
2023-11-01,115452.15779570321
2023-11-02,116172.65584257821
2023-11-03,116659.40388945321
2023-11-06,117565.15584257821
2023-11-07,117539.90193632821
2023-11-08,117723.90584257821
2023-11-09,117482.90974882821
2023-11-10,117633.15388945321
2023-11-13,117724.15974882821
2023-11-15,118883.65193632821
2023-11-16,119332.40193632821
2023-11-17,118869.63005511728
2023-11-20,118869.63005511728
2023-11-21,118572.68121525401
2023-11-22,118714.92730900401
2023-11-23,118665.67926212901
2023-11-24,118629.17535587901
2023-11-28,119104.17535587901
2023-11-29,120138.67730900401
2023-11-30,120321.43121525401
2023-12-01,120995.18121525401
2023-12-04,123089.68316837901
2023-12-05,123931.17730900401
2023-12-06,124344.17535587901
2023-12-07,124161.43121525401
2023-12-08,124502.68121525401
2023-12-11,124641.17730900401
2023-12-12,124187.68121525401
2023-12-13,123659.63682072276
2023-12-14,124941.38486759776
2023-12-15,126311.14072697276
2023-12-18,126121.14072697276
2023-12-19,126293.38682072276
2023-12-20,124778.64072697276
2023-12-21,125303.14268009776
2023-12-22,125774.89072697276
2023-12-26,126234.63682072276
2023-12-27,127301.63877384776
2023-12-28,127921.38486759776
2023-12-29,127684.89072697276
2024-01-01,127737.39072697276
2024-01-02,127356.89268009776
2024-01-03,126614.63682072276
2024-01-04,126996.22441257823
2024-01-05,126996.22441257823
2024-01-08,126673.31428257823
2024-01-09,126832.56232945323
2024-01-10,127201.81037632823
2024-01-11,127344.31037632823
2024-01-12,128252.8688726173
2024-01-15,128252.8688726173
2024-01-16,128252.8688726173
2024-01-17,128252.8688726173
